Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 02/06  08:00:00,2.19779669137,14.5682338301,0.0,14.5349818086,0.0,0.354467838079,0.354467838079,0.354467838079,0.25921243303,0.0558412332777,0.207318086672,0.482758226172,0.806554874138
 02/06  09:00:00,2.08183813874,13.4769356822,0.0,13.4488230188,0.0,0.3279794418,0.3279794418,0.3279794418,0.231037140861,0.049771545201,0.268600928953,0.408144195277,0.779660886645
 02/06  10:00:00,1.82205126583,12.0656986365,0.0,12.0417724866,0.0,0.293665387143,0.293665387143,0.293665387143,0.112701089013,0.0242788037928,0.329942516084,0.347363714635,0.697455755164
 02/06  11:00:00,1.72912489492,12.4308019228,0.0,12.4063130694,0.0,0.302555519515,0.302555519515,0.302555519515,0.090160839344,0.0194230361695,0.344788777527,0.355533134076,0.60001958829
 02/06  12:00:00,1.62153949195,10.9203015733,0.0,10.8958052172,0.0,0.265718428156,0.265718428156,0.265718428156,0.090160839344,0.0194230361695,0.361031883506,0.355642059669,0.512919245102
 02/06  13:00:00,1.52674830843,10.4447672972,0.0,10.4206835903,0.0,0.25413153124,0.25413153124,0.25413153124,0.090160839344,0.0194230361695,0.351753757089,0.349651152079,0.444983992512
 02/06  14:00:00,1.44966111547,9.83865633216,0.0,9.8137398242,0.0,0.239329858458,0.239329858458,0.239329858458,0.090160839344,0.0194230361695,0.31775556627,0.361741892852,0.404605922378
 02/06  15:00:00,1.40767641683,9.67928902853,0.0,9.65296951334,0.0,0.235409117086,0.235409117086,0.235409117086,0.0957958818448,0.0206369737848,0.292551191427,0.382110978658,0.364528274026
 02/06  16:00:00,1.46938391897,9.86894727392,0.0,9.84116472981,0.0,0.239998675738,0.239998675738,0.239998675738,0.112701089013,0.0242788037928,0.302771399031,0.403351469205,0.369638482192
 02/06  17:00:00,1.72868968031,10.3262270364,0.0,10.293365156,0.0,0.25102658823,0.25102658823,0.25102658823,0.174686636187,0.0376321347236,0.353623489359,0.47709409536,0.417982736446
 02/06  18:00:00,2.25544290791,11.601525278,0.0,11.5616033452,0.0,0.282004107999,0.282004107999,0.282004107999,0.338103187372,0.0728363942165,0.444963271704,0.579593077948,0.521298868673
 02/06  19:00:00,2.67941639415,11.6594062015,0.0,11.6160630319,0.0,0.28333735134,0.28333735134,0.28333735134,0.580410413235,0.125035814648,0.398173901519,0.629263148149,0.616551765258
 02/06  20:00:00,2.76352424509,10.1357031034,0.0,10.0909644293,0.0,0.246090596635,0.246090596635,0.246090596635,0.74382696442,0.160240091303,0.315239230802,0.649523308363,0.631960053569
 02/06  21:00:00,2.6161722416,9.6430994774,0.0,9.59682274716,0.0,0.234039853396,0.234039853396,0.234039853396,0.693111422582,0.149314618441,0.275771399459,0.671853054836,0.575437892889
 02/06  22:00:00,2.37723783418,9.92747735861,0.0,9.88228101896,0.0,0.241001387838,0.241001387838,0.241001387838,0.574775370734,0.123821877033,0.258240654531,0.656167769509,0.506586774531
 02/06  23:00:00,1.96319339444,10.5299056236,0.0,10.4907939837,0.0,0.255841329016,0.255841329016,0.255841329016,0.428264026716,0.0922594475479,0.205783602099,0.567829113952,0.396571875104
 02/06  24:00:00,1.55252053125,10.9413293439,0.0,10.9073420566,0.0,0.265999779628,0.265999779628,0.265999779628,0.298657810201,0.0643388309091,0.135829802162,0.493432934242,0.277617374102
